"Instante lectura","Chuvia","Direcci?n do vento predominante a 10m","Horas de fr?o ( <=7?C)","Horas de sol","Humidade relativa media a?1.5m","Insolaci?n","Irradiaci?n global diaria","Presi?n","Temperatura media a?1.5m","Velocidade do vento a 10m"
"2024-08-30 00:00:00.0","0.0","225.0","0.0","9.6","75.0","72.7","1909.0","1012.2","22.7","7.2"
"2024-08-31 00:00:00.0","0.0","270.0","0.0","6.6","93.0","50.7","1714.0","1012.2","18.1","10.7"
"2024-09-01 00:00:00.0","0.0","225.0","0.0","10.0","87.0","76.4","2317.0","1014.3","19.4","7.7"
"2024-09-02 00:00:00.0","2.7","0.0","0.0","1.0","80.0","7.7","896.0","1014.8","19.0","18.9"
"2024-09-03 00:00:00.0","0.0","45.0","0.0","11.3","68.0","87.1","2403.0","1016.1","19.0","19.5"
"2024-09-04 00:00:00.0","0.0","45.0","0.0","10.6","64.0","81.7","2346.0","1017.7","20.0","18.8"
"2024-09-05 00:00:00.0","0.0","45.0","0.0","5.9","71.0","45.6","1392.0","1013.0","17.0","18.2"
"2024-09-06 00:00:00.0","8.2","225.0","0.0","2.4","88.0","18.8","952.0","1007.1","15.2","10.6"
"2024-09-07 00:00:00.0","2.2","225.0","0.0","10.7","88.0","83.8","2360.0","1010.0","16.6","10.0"
"2024-09-08 00:00:00.0","0.0","225.0","0.0","11.3","84.0","88.8","2335.0","1015.1","16.5","9.4"
"2024-09-09 00:00:00.0","0.0","45.0","0.0","9.2","80.0","72.8","1951.0","1019.3","18.2","9.6"
"2024-09-10 00:00:00.0","0.0","0.0","0.0","11.2","74.0","88.4","2268.0","1019.2","19.0","11.2"
"2024-09-11 00:00:00.0","0.0","45.0","0.0","7.8","76.0","61.7","1716.0","1020.7","18.8","13.4"
"2024-09-12 00:00:00.0","0.0","225.0","0.0","5.8","88.0","46.0","1486.0","1020.1","18.5","10.3"
"2024-09-13 00:00:00.0","0.0","45.0","0.0","11.0","60.0","88.0","2257.0","1019.3","20.0","19.2"
"2024-09-14 00:00:00.0","0.0","90.0","0.0","10.9","60.0","87.7","2261.0","1018.9","18.9","12.8"
"2024-09-15 00:00:00.0","0.0","45.0","0.0","11.0","61.0","88.7","2180.0","1016.9","20.4","8.6"
"2024-09-16 00:00:00.0","0.0","90.0","0.0","10.9","47.0","88.1","2163.0","1014.4","24.4","12.5"
"2024-09-17 00:00:00.0","0.0","45.0","0.0","11.0","48.0","89.1","2170.0","1009.8","23.4","14.9"
"2024-09-18 00:00:00.0","0.0","90.0","0.0","0.1","59.0","0.5","714.0","1008.7","19.4","11.3"
"2024-09-19 00:00:00.0","0.0","225.0","0.0","7.5","80.0","61.1","1479.0","1009.6","17.7","7.1"
"2024-09-20 00:00:00.0","3.5","45.0","0.0","0.1","96.0","0.4","446.0","1010.4","16.8","4.9"
"2024-09-21 00:00:00.0","0.0","225.0","0.0","6.5","96.0","53.8","1419.0","1011.7","16.9","6.7"
"2024-09-22 00:00:00.0","0.0","225.0","0.0","6.9","94.0","57.4","1518.0","1015.6","16.5","8.7"
"2024-09-23 00:00:00.0","0.0","45.0","0.0","10.0","83.0","82.9","1956.0","1016.2","16.3","10.9"
"2024-09-24 00:00:00.0","11.5","180.0","0.0","2.9","90.0","24.1","728.0","1011.7","17.9","7.7"
"2024-09-25 00:00:00.0","40.9","225.0","0.0","0.2","95.0","1.5","335.0","1006.9","20.1","25.1"
"2024-09-26 00:00:00.0","17.5","225.0","0.0","7.6","88.0","64.2","1606.0","1008.7","19.0","25.8"
"2024-09-27 00:00:00.0","2.2","315.0","0.0","9.8","76.0","82.8","1924.0","1019.3","16.1","13.8"
"2024-09-28 00:00:00.0","0.0","45.0","0.0","9.7","71.0","82.0","1852.0","1022.3","15.8","7.3"
"2024-09-29 00:00:00.0","0.0","45.0","0.0","1.8","72.0","15.0","795.0","1019.8","17.9","6.5"
"2024-09-30 00:00:00.0","3.6","45.0","0.0","1.1","98.0","9.3","662.0","1018.7","18.3","4.9"
